,Date,User,Tweet
0,2022-05-30 09:11:42+00:00,SkillstoProsper,"In Malaysia, S4P improves the quality, equity and relevance of skills and technical and vocational education and training (TVET) systems to improve youth employability prospects in the era of industry 4.0, through inclusive industry-led training."
1,2022-05-05 02:05:48+00:00,OfficialMIDA,"In light of the speedy growth of Industry 4.0 technologies in the region, Malaysia’s logistics industry is well-positioned to capitalize on the evolving digital landscape. https://t.co/sJjHzXvxlm"
2,2022-04-25 06:48:04+00:00,InvestKL,"#Malaysia is gaining repute as a leading Asia-Pacific country in its readiness to adopt Industry 4.0 #technology, with a strong potential to adopt #robotics #automation. Some world-leading #MNCs have established their regional operations centre in Greater #KualaLumpur. https://t.co/UZ4om4Qx3R"
3,2022-03-30 01:08:18+00:00,DhlExpressMY,"JETRO is 🤝collaborating with government agencies and Japanese companies to ☝️accelerate adoption of Japanese Industry 4.0 🏭 #smartmanufacturing technologies among Malaysian SMEs, as part of the Look East Policy (LEP) cooperation.

https://t.co/3M9mtHUymT 
#malaysia #smemalaysia"
4,2022-03-14 13:25:12+00:00,Dr_Nur_Mazlini,Infographic: Is Malaysia Ready for Industry 4.0? | Manufacturing - Solidiance https://t.co/KksxvCJWDP via @
5,2022-03-09 08:58:44+00:00,MITIMalaysia,"It complements existing and upcoming national blueprints including the 12th Malaysia Plan, Shared Prosperity Vision 2030 Plan, National Policy on Industry 4.0 (Industry4WRD), as well as the upcoming New Industrial Masterplan.

@AzminAli @limbanhong @lokmanhakim_ali 
#NIA #NIP"
6,2022-02-08 14:42:00+00:00,juneliang,"Evergreen Corp Malaysia's Tech SPAC focusing on  AI, FinTech, the Metaverse, IoT, eCommerce, social commerce, Industry 4.0 (IR4.0), as well as areas surrounding the new digital economy, in the ASEAN region to debut tomorrow Congrats! So proud! 
ARC Group
https://t.co/J3X01KeeRP"
7,2022-01-26 05:43:04+00:00,AirellRezell,"I don't think it is about memperlekehkan tapi lebih kepada teguran, we are in industry 4.0, Indonesia lahirkan banyak tech unicorns, we know Gojek, Traveloka, BliBli, J&amp;T, even Kopi brand like Kopi Kenangan, 1st new retail F&amp;B unicorn from SEA, and where is Malaysia in this? https://t.co/QskgLql6Lk"
8,2022-01-16 01:26:25+00:00,effendyzulkifly,"The most powerful Ecosystem of Industrial Revolution 4.0 in Malaysia! 

So excited to see my organisations Blockworq (Tech Business Platform), Crypto Valley Malaysia (Blockchain Community Platform) and Malaysia Industry Forward Association (IR40 Community Platform) in this event. https://t.co/Yp0veGR6x0"
9,2022-01-11 06:12:21+00:00,DNB_Official,"“5G will accelerate Malaysia’s digital transformation and enable the country to embrace Industry 4.0. It will also help reduce the digital divide, through use of technology such as Fixed Wireless Access to provide ultra-fast connectivity to remote areas.”

https://t.co/6h5uekW1gx"
10,2022-01-11 02:41:54+00:00,SwedeninMY,"“5G will accelerate Malaysia’s digital transformation and enable the country to embrace Industry 4.0. It will also help reduce the digital divide, through use of technology such as Fixed Wireless Access to provide ultra-fast connectivity to remote areas,” said Ekholm. https://t.co/uwuClqDbDN"
11,2022-01-02 10:16:29+00:00,KammoSiWong,Why implement old technology? This is baffling! Industry 4.0 uses 5G with mobile devices equipped with sensors like our mobile phones! More efficient and effective than RFID #Malaysia Its a waste! https://t.co/m0uTFHXTQA
12,2021-12-22 05:51:54+00:00,crest_malaysia,"#CRESTPlace is home to Elliance, a pioneer in delivering #Industry40 solutions across multiple industries. Since 2016, it has helped companies on their digitalization journey &amp; has played a key role in implementing Industry 4.0 technologies across their manufacturing operations."
13,2021-12-21 07:43:33+00:00,AHKMALAYSIA,"What is CEO of Digital Penang Tony Yeoh thoughts and progress on the introduction of Industry 4.0 in Penang and Malaysia? Listen to a snippet of our latest Podcast episode, covering Penang's Digital Transformation.

Listen to the full podcast here: https://t.co/le6UnSli1Q https://t.co/mBtcJoSokD"
14,2021-12-08 06:51:27+00:00,smc_my,"From drones to robotics to biopharmacy, local technology solutions providers such as Biogenes, Poladrone, Techcare Innovation, Ethovent, Medika Natura and Bioapps Sdn Bhd are playing a crucial role in accelerating Industry 4.0 in Malaysia.

@mtdcmalaysia

https://t.co/0cRU7AGCVo"
15,2021-12-07 07:00:00+00:00,CscecM,"Recently, Mr. Lyu En, managing director of CSCEC Malaysia, was interviewed by Master Builders Journal, in which he introduced the challenges caused by Covid-19, IR 4.0 and its future in the construction industry. https://t.co/6G8xYFpaL9"
16,2021-12-06 06:58:22+00:00,MYEmbHanoi,"Embassy of Malaysia in Hanoi attended the Vietnam's Industry 4.0 Summit 2021, today. The Summit was co-hosted by the Prime Minister of Vietnam, and the Chairman of the Central Economic Commission as well as other leaders of the Party and State. https://t.co/0l5NThGcVL"
17,2021-11-29 01:49:32+00:00,MIMA_MALAYSIA,"Register NOW! It's open to the public. Happening virtual on 10 December 2021 | Friday. Do not miss out. 

MIMA Talk by Mr Mohd Nazery Mohd Khalid: Application of Industry 4.0 in the Marine Industry: Updates, Issues and Opportunities https://t.co/Roi8s4xQUW"
18,2021-11-24 00:25:17+00:00,mtdcmalaysia,"GLOBAL DFI FORUM 2021 MALAYSIA!: Sustainable Development Towards Shared Prosperity.
Catch MTDC CEO Dato'@NorhalimY at his session @10am today
Panel Discussion 1: DFIs Catalyzing Industry Revolution 4.0 :
Event Access URL: https://t.co/wb1aJ2fkPS #mtdcmalaysia https://t.co/yWsQojdGCl"
19,2021-11-19 11:13:51+00:00,crest_malaysia,Our CEO @pi2sage will be participating in a panel discussion titled “How Industry 4.0 + Innovation Drive New Value Propositions for Malaysia’s Manufacturing Sector” on Day 1 (22 November) of #ITAP2021
20,2021-11-10 05:21:41+00:00,TapwaySolutions,"On Thursday, 28th October, Malaysia Productivity Corporation (MPC) has conducted a #webinar ""THE ROAD AHEAD WITH INDUSTRY4WRD: DIVERGENCE OF FACILITATION IN INDUSTRY 4.0” and it went successfully. https://t.co/BKc81XAODX"
21,2021-11-10 03:52:11+00:00,swkecosystem,"""Meanwhile, Red Hat Malaysia's country manager, Eric Quah, said the Malaysian government is fortifying the country with strategic investments to be ready for Industry Revolution 4.0 &amp; to welcome the global digital economy.""

Read more: https://t.co/XbLVKx3P63

#SarawakDigital https://t.co/00BfvO5hnU"
22,2021-11-05 02:05:10+00:00,DhlExpressMY,"@Siemens has ✍️inked a MoU with the SUK Selangor and Selangor Technical Skills Development Centre - STDC (STDC) to develop a comprehensive✨training ecosystem for Industry 4.0 skills.

https://t.co/CMgzyG6l4l
#selangor #Malaysia #Malaysian #training #smemalaysia #businessmalaysia"
23,2021-11-03 09:06:30+00:00,EduSpiral88,Best Courses to Study to Work in Industry Revolution (INR) 4.0 in Malaysia https://t.co/0k0RnuYyrr
24,2021-11-03 09:03:17+00:00,EduSpiral,Top 20 Courses Best for a Career in Industry 4.0 in Malaysia https://t.co/CzA15oR9sN
25,2021-11-03 04:06:32+00:00,eurochammy,"This is an astonishing milestone for Siemens Malaysia as they continue to pave the way for the ecosystem for Industry 4.0. As mentioned by Siemens Malaysia’s President and CEO, Adam Yee, the partnership will contribute to the country’s industrial talent pool."
26,2021-11-03 04:06:31+00:00,eurochammy,"We would like to congratulate our corporate partner Siemens Malaysia as well as Adam Yee, President &amp; CEO on the signing of an MoU with the Selangor state government &amp; Selangor Technical Skills Development Centre to develop comprehensive training ecosystem for Industry 4.0 skills"
27,2021-11-02 23:42:18+00:00,fmtoday,Lighthouses illuminating Malaysia’s path to Industry 4.0 #FMTNews  https://t.co/uCAVaodBzL
28,2021-11-01 09:32:22+00:00,EduSpiral,Best Courses to Study to Work in Industry Revolution (INR) 4.0 in Malaysia https://t.co/7GGhZSqGXP
29,2021-11-01 09:32:20+00:00,EduSpiral88,Best Courses to Study to Work in Industry Revolution (INR) 4.0 in Malaysia https://t.co/0k0RnuGXzT
30,2021-10-28 01:39:53+00:00,DhlExpressMY,"💡insights on the prominence of smart manufacturing in gearing towards the industry 4.0 revolution during the “Smart Manufacturing: Driving Agility” webinar. Here are some key takeaways https://t.co/4nlFDWRD4V

#agility #smemalaysia #smartmanufacturing #businessmalaysia #malaysia"
31,2021-10-25 08:49:05+00:00,MPC_HQ,"Malaysia Productivity Corporation (MPC) is in collaboration with United Overseas Bank (Malaysia) Bhd will be organizing Webinar entitled:

DIVERGENCE OF FACILITATION IN INDUSTRY 4.0😎

28 October 2021 (Thursday)
10:00am 
GoToWebinar😎

REGISTER HERE:
https://t.co/kDQC9ZCqi6 https://t.co/ZJhRdM47XC"
